method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Training-mean RA,SRS2821946,45.8,0.0017504357163922804,0.003980883756676447,0.9630539341707435,1.139535689138364,1.0,5
Training-mean RA,SRS2821968,22.6,0.0017935978952645488,0.004435653759991286,0.9185358005043222,1.130268128176643,1.0,5
Training-mean RA,SRS2821969,88.8,0.0008358298769365261,0.002606687931960291,0.6886789538483236,0.8896261218351205,1.0,5
Training-mean RA,SRS2821970,96.6,0.000629111874809649,0.00238942427254723,0.600920022021602,0.8200009385517392,1.0,5
Training-mean RA,SRS2821972,104.2,0.0005643795582474071,0.0021031101119583927,0.6964832990936048,0.8676972993863549,1.0,5
Training-mean RA,SRS2821987,112.0,0.0010283839709997688,0.004173061311979391,0.8371625674073583,1.0134217628357411,1.0,5
Training-mean RA,SRS2821991,90.8,0.0005328639258474666,0.001276307524621172,0.6539917179737966,0.7977997555411355,1.0,5
Training-mean RA,SRS2822000,86.8,0.0005922566140613362,0.0024018806996555283,0.5902229504515581,0.7516115566727117,1.0,5
Training-mean RA,SRS2822019,91.6,0.0005400800930123976,0.0012871560076403586,0.6728665082430978,0.8804280114340507,1.0,5
Training-mean RA,SRS2822023,104.0,0.0006775257814975317,0.0015284474644521502,0.8938114342193115,1.0473722744272567,1.0,5
Training-mean RA,SRS2822025,95.2,0.0008372416146069028,0.001992431596175275,0.8615802040069559,1.026862452253809,1.0,5
Training-mean RA,SRS2822026,89.2,0.0012891783745253792,0.0035845236990363328,1.1414547568889393,1.337850262072877,1.0,5
Training-mean RA,SRS2822053,75.8,0.0016816213688052987,0.006212614998362327,0.9002242036963054,1.1304555285362354,1.0,5
Training-mean RA,SRS2822060,86.8,0.0014954304719973436,0.006147594433602589,0.7792491339759604,1.0063213633980337,1.0,5
Training-mean RA,SRS2822063,90.0,0.001489663935775955,0.005814481277883003,0.9332803825632577,1.1959741533041086,1.0,5
Training-mean RA,SRS2822068,108.6,0.0005176065431972885,0.0011687773041108387,0.7154687360219971,0.9365439046072984,1.0,5
Training-mean RA,SRS2822077,104.0,0.0011257106521608783,0.0030920025755038086,1.0708446025156968,1.2458516745773125,1.0,5
Training-mean RA,SRS2822080,84.8,0.0016358007584422302,0.006354153131417195,0.7388050593058603,0.9479901240287667,1.0,5
Training-mean RA,SRS2822089,96.4,0.0005608152889455761,0.002040889633745719,0.608151964817355,0.8011187896777446,1.0,5
Training-mean RA,SRS2822111,80.6,0.0013046525842939946,0.003948057498219165,0.8163862958527549,0.9781053224193142,1.0,5
Training-mean RA,SRS2822116,91.8,0.0016201518503154775,0.006427906739208691,0.9439212341618166,1.1258723996765068,1.0,5
Training-mean RA,SRS2822120,95.2,0.0006759021930150317,0.0024983799255840003,0.5838490679084183,0.7561229413034356,1.0,5
Training-mean RA,SRS2822122,72.4,0.000540043860937509,0.0014413947167637164,0.579218369096371,0.7292061963966833,1.0,5
Training-mean RA,SRS2822125,97.0,0.0011993858687869975,0.0036651835727071077,0.853116269774724,1.0552345559600773,1.0,5
Training-mean RA,SRS2822129,89.2,0.0006817688107582562,0.0023661549741421273,0.6142027127318158,0.8008611972228579,1.0,5
Training-mean RA,SRS2822133,85.8,0.0006204179828964232,0.0015959814953268702,0.6088655231870476,0.7853518055164224,1.0,5
