model,subgroup_variable,subgroup,number_of_rows,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,9,zero_in_shallow,0.0024748007735152814,0.10223517342365081,0.0022479856129255936
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,10,is_other,0.000178083811988472,0.007356725275596751,-0.00013974815291558943
XGBoost,shallow_detection_group,Shallow zero,208,1,log1p_shallow_count,0.9071847710471886,41.14682729525699,-0.9071847710471886
XGBoost,shallow_detection_group,Shallow zero,208,2,otu_prevalence_train,0.5591897801316988,25.36295365914481,0.019698447216517076
XGBoost,shallow_detection_group,Shallow zero,208,3,shallow_richness,0.3059185402078303,13.87542840453388,0.006761619874920983
XGBoost,shallow_detection_group,Shallow zero,208,4,log10_shallow_ra,0.17703268236409014,8.029602611651864,-0.17703268236409014
XGBoost,shallow_detection_group,Shallow zero,208,5,otu_mean_ra_train,0.08495109159020313,3.853093664888941,-0.0032973448139203424
XGBoost,shallow_detection_group,Shallow zero,208,6,otu_std_ra_train,0.08162877238856499,3.7024045233023593,-0.016466649225829036
XGBoost,shallow_detection_group,Shallow zero,208,7,otu_max_ra_train,0.06260089684292325,2.83936456291105,-0.012170451619637718
XGBoost,shallow_detection_group,Shallow zero,208,8,shallow_rank_norm,0.024073501753334243,1.091892468491389,0.024073501753334243
XGBoost,shallow_detection_group,Shallow zero,208,9,zero_in_shallow,0.002147335113967039,0.09739584470476828,-0.0020939645144328377
XGBoost,shallow_detection_group,Shallow zero,208,10,is_other,2.2862490775073988e-05,0.001036965113926546,-2.2862490775073988e-05
XGBoost,shallow_detection_group,Detected in shallow,92,1,log1p_shallow_count,1.4539133562989857,59.38356788975597,1.4539133562989857
XGBoost,shallow_detection_group,Detected in shallow,92,2,otu_prevalence_train,0.4085642638712433,16.68737933784884,0.3738531277530179
XGBoost,shallow_detection_group,Detected in shallow,92,3,log10_shallow_ra,0.28148393519222736,11.49691644481041,0.28148393519222736
XGBoost,shallow_detection_group,Detected in shallow,92,4,shallow_richness,0.13567821088793647,5.5416343845509966,0.0421986608290235
XGBoost,shallow_detection_group,Detected in shallow,92,5,otu_mean_ra_train,0.0876297257845695,3.579144347043586,0.03611123210335474
XGBoost,shallow_detection_group,Detected in shallow,92,6,otu_std_ra_train,0.03259422271335295,1.331276880377037,0.005084988320722123
XGBoost,shallow_detection_group,Detected in shallow,92,7,otu_max_ra_train,0.025830026574587227,1.0550003753942898,0.009114226357031957
XGBoost,shallow_detection_group,Detected in shallow,92,8,shallow_rank_norm,0.019787741256827165,0.80820956160752,-0.013544452651251999
XGBoost,shallow_detection_group,Detected in shallow,92,9,zero_in_shallow,0.0027266340125409088,0.11136650976672355,0.002459730781755871
XGBoost,shallow_detection_group,Detected in shallow,92,10,is_other,0.0001347633743515199,0.005504268844621842,-9.328690336350637e-05
