sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,log1p_shallow_count,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other
SRS2821814,train,1,242803,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,87,0.7837837837837838,110,0.0005601872626808,0.6737160120845922,0.001398595788985,0.0118232283180736,0.000488943566449008,-3.3107323817607694,0
SRS2821814,train,1,73614,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0005529446483244,0.7190332326283988,0.001265142960792,0.0127592011630576,0.00026813034289139144,-3.5716378395903523,0
SRS2821814,train,1,230845,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,88,0.7927927927927928,110,0.000502405530781,0.9274924471299094,0.0006673250889536,0.0091532911898103,0.00036276458155894137,-3.4403631501549907,0
SRS2821814,train,1,55552,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,71,0.6396396396396397,110,0.0004886600606367,0.6918429003021148,0.0006489186472599,0.0034648909100752,0.0007097567900066244,-3.148884325155073,0
SRS2821814,train,1,78943,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0004841112980433,0.7462235649546828,0.0006618437590769,0.00654417316889,0.00020504085044635817,-3.688138425140727,0
SRS2821814,train,1,209843,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,89,0.8018018018018018,110,0.0004571044555913,0.8972809667673716,0.0006701024230862,0.0056556661953611,6.308949244503328e-05,-4.19997413408721,0
SRS2821814,train,1,88503,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0004440084717553,0.7764350453172205,0.0010493723293255,0.0090218645706621,0.0,-8.0,0
SRS2821814,train,1,103906,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,72,0.6486486486486487,110,0.0004356646305359,0.9365558912386708,0.0006993859073191,0.0051285988483685,0.00014195135800132487,-3.8478298548466983,0
SRS2821814,train,1,1202,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0004314371075624,0.8066465256797583,0.0036212023494707,0.0642526936844566,0.00042585407400397464,-3.3707289955682467,0
SRS2821814,train,1,172024,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,59,0.5315315315315315,110,0.0004026015093387,0.5770392749244713,0.0005727760678815,0.0037015102161681,0.001230245102678149,-2.910004824984906,0
SRS2821814,train,1,167065,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0003985899021353,0.5861027190332326,0.0005581829613409,0.0030166535807264,0.0004573988202264913,-3.339695465136438,0
SRS2821814,train,1,66728,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,90,0.8108108108108109,110,0.0003836266399621,0.6978851963746223,0.0007673526594138,0.0055927798309006,0.001182927983344374,-2.9270380230790174,0
SRS2821814,train,1,92333,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,91,0.8198198198198198,110,0.0003802576700743,0.8308157099697885,0.0009877665946945,0.0074142896961813,0.0002365855966688748,-3.6259933423801303,0
SRS2821814,train,1,166377,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0003786969182435,0.8036253776435045,0.000701706029497,0.0075603217158176,0.0,-8.0,0
SRS2821814,train,1,104566,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,73,0.6576576576576577,110,0.0003766730172977,0.6948640483383686,0.0004916157014454,0.0025684431731947,0.000394309327781458,-3.404151935219158,0
SRS2821814,train,1,16188,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0003727858172743,0.8429003021148036,0.0009699538571465,0.0096301159991245,0.0003154474622251664,-3.501059194791898,0
SRS2821814,train,1,409,2000,17,0.0085,-2.070580563351323,2.8903717578961645,0,25,0.22522522522522523,110,0.0003689609081321,0.5015105740181269,0.0015162228135537,0.0145491680182615,0.009510740986088766,-2.0217851890313203,0
SRS2821814,train,1,101509,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0003506149536531,0.2930513595166163,0.0015501347112882,0.0150016329024577,0.0,-8.0,0
SRS2821814,train,1,168997,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0003494230173817,0.5196374622356495,0.0011893367381893,0.0116778069650706,0.0,-8.0,0
SRS2821814,train,1,237932,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.000348178309736,0.7220543806646526,0.0005457290207813,0.0029964756478131,4.731711933377496e-05,-4.324889928988991,0
