depth,method,metric,n_samples,mean,std,median,q25,q75
1000,Raw shallow RA,RAD_middle_MAE_log10,72,2.164963352302801,0.4285218605532659,2.1973810040409587,1.7938814898969446,2.5213233954521925
1000,Raw shallow RA,RAD_tail_MAE_log10,72,1.277688989846955,0.8218198208285932,1.3327628638268063,0.605160656436417,1.9409331697660537
1000,Raw shallow RA,Shannon_absolute_error,72,0.0637083421094978,0.019882647092879,0.0631155608709904,0.0496407126860728,0.0762784821203603
1000,Raw shallow RA,Simpson_absolute_error,72,0.0044536932074884,0.0029133903160928,0.0032771109954589,0.0024148453927808,0.0056203158265487
1000,Raw shallow RA,true_richness_1read,72,50.30555555555556,11.138865961051804,50.5,42.0,60.25
1000,Raw shallow RA,predicted_richness_1read,72,66.6222222222222,14.647080391882191,68.0,55.25,81.45
1000,Raw shallow RA,richness_1read_absolute_error,72,16.333333333333332,5.674256171393001,16.8,12.4,20.85
1000,Raw shallow RA,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
1000,Raw shallow RA,predicted_richness_fixed,72,66.6222222222222,14.647080391882191,68.0,55.25,81.45
1000,Raw shallow RA,richness_fixed_absolute_error,72,47.83611111111112,16.137030335344186,48.9,35.050000000000004,59.75
1000,Training-mean RA,composition_RMSE_RA,72,0.0132603616478729,0.0047588661517308,0.0119728497107974,0.0101612362022873,0.0146207513978813
1000,Training-mean RA,composition_Spearman,72,0.5854992486605802,0.060413080359585,0.5861618683916767,0.5581597451093464,0.6275087137141178
1000,Training-mean RA,Bray_Curtis,72,0.3985704493983644,0.0752000783603454,0.394419813052308,0.3449927030817201,0.4443466183333281
1000,Training-mean RA,Jensen_Shannon_distance,72,0.4520867246319424,0.0683620382015574,0.4437101515592175,0.4060989644010537,0.4905584083602715
1000,Training-mean RA,RAD_MAE_log10_RA_specific,72,1.676069943689311,0.5780819799243232,1.5933264092053212,1.1912096489068889,2.1031929667152953
1000,Training-mean RA,RAD_RMSE_log10_RA_specific,72,2.362900486697379,0.4968703103739382,2.3022467052505853,2.003418062500307,2.702143840952833
1000,Training-mean RA,RAD_head_MAE_log10,72,0.1313359050326663,0.0592514653044852,0.1157450520646542,0.0880469770040334,0.1635276797224803
1000,Training-mean RA,RAD_middle_MAE_log10,72,0.496733399461611,0.4361548079056671,0.3869986086594872,0.1617632970235314,0.6770339736322222
1000,Training-mean RA,RAD_tail_MAE_log10,72,2.8928093810475333,0.8218198208285933,2.8377355070676815,2.229565201128435,3.5653377144580713
1000,Training-mean RA,Shannon_absolute_error,72,0.6293028636520913,0.345555313260703,0.595645211758389,0.3096174701163373,0.8879533787390586
1000,Training-mean RA,Simpson_absolute_error,72,0.0528806130395713,0.0488461340846419,0.0386931780953472,0.0135590346820739,0.071304138249794
1000,Training-mean RA,true_richness_1read,72,50.30555555555556,11.138865961051804,50.5,42.0,60.25
1000,Training-mean RA,predicted_richness_1read,72,67.0,0.0,67.0,67.0,67.0
1000,Training-mean RA,richness_1read_absolute_error,72,17.055555555555557,10.569540196654776,16.5,6.75,25.0
1000,Training-mean RA,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
1000,Training-mean RA,predicted_richness_fixed,72,231.0,0.0,231.0,231.0,231.0
1000,Training-mean RA,richness_fixed_absolute_error,72,116.54166666666669,29.351170286431486,115.0,91.75,142.0
1000,XGBoost,composition_RMSE_RA,72,0.0023087645774469,0.0009041567165666,0.0020243225168176,0.0017735645232966,0.0022846975605782
1000,XGBoost,composition_Spearman,72,0.8215172732346551,0.0613612713156866,0.8319041247554653,0.7918280576539177,0.8695899389209
1000,XGBoost,Bray_Curtis,72,0.0808228865684428,0.0150739716351013,0.0791466804087572,0.0733356782266536,0.0877939965943694
1000,XGBoost,Jensen_Shannon_distance,72,0.1263673784475342,0.0160455536544581,0.1290041564541469,0.1195793230375139,0.134998793329464
1000,XGBoost,RAD_MAE_log10_RA_specific,72,0.7752074145310298,0.1408948827020697,0.7596024824843974,0.671235691759075,0.8232518825860874
1000,XGBoost,RAD_RMSE_log10_RA_specific,72,0.9700925346132642,0.1908004642813693,0.9324313028521,0.8531698936907266,1.010080255174119
